Zip Code,BaseDate,3-Month,6-Month,1-Year
61705,2024-03-31,0.9,2.4,0.0
94542,2024-03-31,1.2,1.7,-1.9
2726,2024-03-31,1.2,3.0,1.9
79849,2024-03-31,0.6,1.3,1.6
16117,2024-03-31,1.0,2.7,0.6
47601,2024-03-31,0.9,2.2,0.7
87413,2024-03-31,0.8,1.8,-0.6
48072,2024-03-31,1.3,3.3,0.4
68124,2024-03-31,1.5,3.4,1.5
78612,2024-03-31,0.5,1.4,0.5
1007,2024-03-31,1.0,3.0,1.0
21704,2024-03-31,0.7,1.3,-0.5
65706,2024-03-31,0.9,2.5,2.4
99350,2024-03-31,0.9,2.2,1.2
86005,2024-03-31,1.2,2.5,3.4
1510,2024-03-31,1.1,2.9,1.8
36527,2024-03-31,0.8,2.1,2.1
48030,2024-03-31,1.5,3.7,0.4
33469,2024-03-31,0.6,1.4,3.0
32459,2024-03-31,0.8,2.2,2.4
14048,2024-03-31,1.0,3.7,3.7
21205,2024-03-31,1.2,3.0,-1.6
44103,2024-03-31,1.5,4.1,1.3
97089,2024-03-31,1.1,2.1,-0.6
78255,2024-03-31,0.6,1.5,-0.1
48206,2024-03-31,1.3,3.3,0.4
19096,2024-03-31,0.9,2.5,0.9
71923,2024-03-31,0.5,1.1,-0.4
44062,2024-03-31,1.4,3.7,1.2
80305,2024-03-31,1.2,2.2,-0.4
52577,2024-03-31,1.0,3.4,0.5
89005,2024-03-31,0.7,1.6,1.1
2481,2024-03-31,1.4,3.3,0.6
99517,2024-03-31,0.5,1.0,-2.0
75215,2024-03-31,1.2,2.8,1.4
31220,2024-03-31,0.8,2.2,1.8
63126,2024-03-31,1.4,3.2,0.5
16323,2024-03-31,1.1,3.0,1.0
34241,2024-03-31,0.4,1.1,2.9
99037,2024-03-31,0.9,2.7,2.1
80513,2024-03-31,0.9,1.8,-0.1
93402,2024-03-31,0.9,1.8,0.4
46184,2024-03-31,1.1,2.8,2.0
55413,2024-03-31,1.2,2.8,-1.4
68503,2024-03-31,1.3,3.2,0.4
91502,2024-03-31,0.7,1.5,0.1
96704,2024-03-31,0.5,1.0,1.2
68131,2024-03-31,1.5,3.4,1.5
31211,2024-03-31,0.9,2.4,2.0
2382,2024-03-31,1.2,3.0,0.5
11951,2024-03-31,0.6,1.7,-0.9
70518,2024-03-31,0.3,0.6,-3.0
33972,2024-03-31,0.5,1.2,2.7
6795,2024-03-31,1.4,3.7,3.5
48059,2024-03-31,1.3,3.3,0.4
97448,2024-03-31,0.8,2.0,0.5
72715,2024-03-31,0.9,2.2,3.2
14904,2024-03-31,0.8,3.3,-0.2
32931,2024-03-31,0.6,1.6,2.0
48225,2024-03-31,1.3,3.4,0.4
17067,2024-03-31,0.7,1.9,0.9
21046,2024-03-31,0.8,1.9,-1.0
70811,2024-03-31,0.6,1.1,-2.3
49286,2024-03-31,1.2,3.7,1.2
36571,2024-03-31,0.8,2.0,0.9
60445,2024-03-31,1.3,3.3,-0.4
81507,2024-03-31,1.0,2.6,1.8
53566,2024-03-31,1.3,3.0,0.5
89161,2024-03-31,0.8,1.8,1.3
72405,2024-03-31,0.9,2.2,0.0
44044,2024-03-31,1.4,3.8,1.2
7670,2024-03-31,0.6,1.6,-0.9
20639,2024-03-31,0.7,1.2,-0.5
28791,2024-03-31,0.9,2.3,1.8
35816,2024-03-31,0.9,2.3,2.5
67220,2024-03-31,1.1,2.7,1.5
33004,2024-03-31,0.5,1.1,2.4
59937,2024-03-31,2.4,5.4,8.6
21054,2024-03-31,0.7,1.8,-1.0
28557,2024-03-31,0.9,2.6,3.1
30620,2024-03-31,0.9,2.1,2.5
47167,2024-03-31,0.9,2.3,-0.1
12182,2024-03-31,0.6,2.5,0.2
29369,2024-03-31,0.8,2.2,2.4
33778,2024-03-31,0.6,1.7,2.9
29624,2024-03-31,1.1,2.8,2.5
89138,2024-03-31,0.8,1.8,1.3
34292,2024-03-31,0.4,1.1,2.8
46408,2024-03-31,1.6,4.0,-0.5
85650,2024-03-31,0.7,1.8,1.5
